rank,industry,data_date,composite_score,capital_momentum,capital_momentum_score,tech_activity,tech_activity_score,external_signal_score,available_weight,ranking_status,scoring_mode,market_return_3m,market_return_3m_status,market_return_3m_growth_rate_4w,market_return_3m_momentum_status,market_return_3m_score,market_return_4w,market_return_4w_status,market_return_4w_growth_rate_4w,market_return_4w_momentum_status,market_return_4w_score,arxiv_paper_count_4w,arxiv_paper_count_4w_status,arxiv_paper_count_4w_growth_rate_4w,arxiv_paper_count_4w_momentum_status,arxiv_paper_count_4w_score,github_repo_count_4w,github_repo_count_4w_status,github_repo_count_4w_growth_rate_4w,github_repo_count_4w_momentum_status,github_repo_count_4w_score,market_volume_change_4w,market_volume_change_4w_status,market_volume_change_4w_growth_rate_4w,market_volume_change_4w_momentum_status,nvd_cve_count_4w,nvd_cve_count_4w_status,nvd_cve_count_4w_growth_rate_4w,nvd_cve_count_4w_momentum_status,excluded_metrics,insufficient_metrics,auxiliary_metrics,missing_metrics,data_status
,人工智能,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.3619807451063257,ok,,insufficient_history,,0.1019866867068792,ok,,insufficient_history,,6114.0,ok,,insufficient_history,,3920.0,ok,,insufficient_history,,0.626728289828022,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,低空经济,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.1263595274046518,ok,,insufficient_history,,0.0451172609000534,ok,,insufficient_history,,,missing_config,,missing_config,,,missing_config,,missing_config,,1.099471470770998,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,储能,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.174531534786942,ok,,insufficient_history,,0.0597995588017241,ok,,insufficient_history,,,missing_config,,missing_config,,,missing_config,,missing_config,,-0.1215910492065304,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,医药健康,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0226038671421036,ok,,insufficient_history,,0.0196404710195186,ok,,insufficient_history,,15.0,ok,,insufficient_history,,,missing_config,,missing_config,,0.2755761438166366,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,半导体,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.6433560605960769,ok,,insufficient_history,,0.1893153472847064,ok,,insufficient_history,,236.0,ok,,insufficient_history,,2011.0,ok,,insufficient_history,,0.0700721055707505,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,新能源汽车,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.3449905225207164,ok,,insufficient_history,,0.0749193883948109,ok,,insufficient_history,,,missing_config,,missing_config,,,missing_config,,missing_config,,-0.0702411481139043,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,旅游,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.1071340416167827,ok,,insufficient_history,,0.0918386464986784,ok,,insufficient_history,,,missing_config,,missing_config,,,missing_config,,missing_config,,0.5503020989767051,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,机器人,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.2089045763858215,ok,,insufficient_history,,0.0366015824127619,ok,,insufficient_history,,1305.0,ok,,insufficient_history,,7265.0,ok,,insufficient_history,,1.048286058464758,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,消费零售,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,-0.1001005963343022,ok,,insufficient_history,,-0.0584210847553453,ok,,insufficient_history,,,missing_config,,missing_config,,,missing_config,,missing_config,,0.4962770210134104,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,物流供应链,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.1378605609169279,ok,,insufficient_history,,0.0380765353680561,ok,,insufficient_history,,,missing_config,,missing_config,,,missing_config,,missing_config,,,insufficient_data,,insufficient_data,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_data; nvd_cve_count_4w:missing_config
,网络安全,2026-06-16,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.3347955099835205,ok,,insufficient_history,,0.0765895354505408,ok,,insufficient_history,,,missing_config,,missing_config,,10264.0,ok,,insufficient_history,,0.2297812906103786,ok,,insufficient_history,6226.0,ok,,insufficient_history,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:insufficient_history
